17:PROTX1@nn@RNAi@nsubj@influence@dobj@expression@nn@PROTX2	DLX4	Bax
636:PROTX1@prep_of@results@nsubj@indicated@dobj@overexpression@amod@PROTX2	agar	Piwil2
645:PROTX1@nn@)@nsubj@phosphorylates@dobj@PROTX2	LIMK1	cofilin
650:PROTX1@nsubjpass@overexpressed@prep_in@tumors@nn@PROTX2	LIMK1	breast
654:PROTX1@nn@)@nsubj@mediates@dobj@effects@prep_of@)@nn@PROTX2	GHR	GH1
657:PROTX1@nn@0.30@appos@)@nn@PROTX2	breast cancer	CI
663:PROTX1@prep_of@contribution@dobj@evaluate@prep_to@PROTX2	RAD50	breast cancer
665:PROTX1@nsubj@making@prep_to@predisposition@nn@PROTX2	RAD50	breast cancer
669:PROTX1@nn@lines@prep_of@line@nn@PROTX2	breast	breast
691:PROTX1@nsubj@induced@prep_in@cells@nn@PROTX2	TNF-alpha	breast cancer
721:PROTX1@nsubj@form@dobj@complex@prep_with@PROTX2	TMEFF1	ST14
728:PROTX1@nsubj@escapes@dobj@inhibition@nn@PROTX2	Cbl	Cdc42-mediated
738:PROTX1@prep_between@effect@prep_between@PROTX2	c-Src	Stat3
739:PROTX1@amod@site@dobj@defines@prep_in@promoter@nn@PROTX2	Stat3	HGF
749:PROTX1@nn@1.63@appos@)@nn@PROTX2	breast cancer	CI
751:PROTX1@nsubj@represents@dobj@gene@nn@PROTX2	AURKA	breast cancer
758:PROTX1@nsubjpass@overexpressed@prep_in@majority@prep_of@PROTX2	D1	breast cancer
759:PROTX1@prep_of@ability@nsubj@underlies@dobj@role@prep_for@PROTX2	D1	D1
766:PROTX1@nsubj@correlated@prep_with@PROTX2	ERBB2	EGFR
772:PROTX1@nn@mutations@nsubj@predispose@prep_to@PROTX2	BRCA2	breast
779:PROTX1@prep_of@knockdown@nsubj@cooperates@prep_with@PROTX2	BTG2	Ras
798:PROTX1@amod@model@prep_of@PROTX2	MMTV)-MYC	breast cancer
826:PROTX1@nsubj@sites@prep_for@)@nn@PROTX2	CRE	AP-1
829:PROTX1@nn@activation@prep_of@transcription@nn@PROTX2	AP-1-mediated	COX-2
841:PROTX1@amod@observed@prep_in@PROTX2	p-ser727-STAT3	MDA-MB-231
842:PROTX1@nsubjpass@involved@prep_in@pathogenesis@prep_of@PROTX2	p-ser727-STAT3	breast cancer
863:PROTX1@prep_of@occupancy@dobj@monitoring@prep_with@PROTX2	VDR	CBP
873:PROTX1@prep_of@induction@nsubj@due@prep_to@PROTX2	BRCA2	BRCA1
899:PROTX1@nsubj@promote@dobj@carcinogenesis@nn@PROTX2	SMYD3	breast
926:PROTX1@prep_of@over-expression@nsubj@promoted@dobj@invasion@prep_of@cells@nn@PROTX2	ErbB2	breast cancer
934:PROTX1@nn@expression@prep_of@PROTX2	TFF1	COBRA1
935:PROTX1@nn@inhibition@nsubj@leads@prep_to@activity@nn@PROTX2	COBRA1	TFF1
937:PROTX1@amod@regulation@prep_of@PROTX2	COBRA1	TFF1
950:PROTX1@nsubj@promote@prep_by@PROTX2	ATM	BRCA1
964:PROTX1@nsubj@requires@dobj@PROTX0@nn@PROTX2	ATM	BRCA1-associated
967:PROTX1@nsubj@induces@dobj@phosphorylation@prep_of@PROTX2	IR	ATM
984:PROTX1@nsubjpass@involved@prep_in@translocation@prep_of@PROTX2	TIS21	Pin-1
986:PROTX1@nsubj@inhibits@dobj@expression@prep_of@PROTX2	TIS21	D1
990:PROTX1@nn@mutations@prep_of@PROTX2	BRCA2	breast cancer
993:PROTX1@nsubj@(@dobj@domains@nn@PROTX2	RING	BRCA1
996:PROTX1@nn@irradiation@prep_with@treated@prep_for@PROTX2	breast	breast cancer
1000:PROTX1@nsubj@protein@partmod@supporting@dobj@response@amod@PROTX2	BACH1	BRCA1
1003:PROTX1@nsubj@candidate@prep_for@repair@nn@PROTX2	BACH1	BRCA1
1005:PROTX1@nsubj@displays@dobj@pattern@amod@PROTX2	BACH1	BRCA1-like
1018:PROTX1@nsubj@displays@dobj@accumulation@prep_of@expression@nn@PROTX2	breast cancer	D1
1032:PROTX1@nn@HER@nsubj@)@dobj@PROTX2	breast cancer	HER2
1033:PROTX1@prep_of@loss@nsubj@correlated@prep_with@levels@nn@PROTX2	PR	HER2
1034:PROTX1@prep_of@loss@xsubj@associated@prep_with@loss@prep_of@PROTX2	PTEN	PR
1038:PROTX1@nsubj@enhances@dobj@expression@prep_of@PROTX2	CFB	Mrp4
1052:PROTX1@nn@)@nsubj@class@prep_of@PROTX2	BLC	breast cancer
1055:PROTX1@amod@complex@partmod@composed@prep_of@PROTX2	Mre11	RAD50
1068:PROTX1@prep_of@alleles@nsubj@residue@dobj@)/Cys@nn@PROTX2	CYP2C9	Arg
1083:PROTX1@nn@cells@prep_of@inhibition@nn@PROTX2	breast cancer	COX-2
1092:PROTX1@xsubj@involved@prep_with@(@nn@PROTX2	AhR	RARalpha
1096:PROTX1@xsubj@interact@prep_with@PROTX2	PRAF2	CCR5
1102:PROTX1@nn@)@xsubj@interact@prep_with@A/p65@nn@PROTX2	HDAC1	Rel
1130:PROTX1@prep_of@role@dobj@investigated@prep_for@progression@nn@PROTX2	Smad4	breast cancer
1133:PROTX1@nsubj@plays@dobj@role@prep_in@suppression@prep_of@cells@nn@PROTX2	Smad4	breast cancer
1137:PROTX1@amod@gene@prep_of@PROTX2	HSD17B1	breast cancer
1143:PROTX1@nn@mutations@prep_of@value@prep_with@PROTX2	TP53	breast cancer
1145:PROTX1@num@mutations@nsubj@conferred@dobj@risk@prep_of@death@nn@PROTX2	TP53	breast cancer
1146:PROTX1@nn@mutation@prep_between@interaction@prep_between@status@nn@PROTX2	TP53	PR
1163:PROTX1@nn@risk@prep_between@MspI@nn@PROTX2	breast cancer	CYP1A1
1170:PROTX1@nn@risk@prep_between@association@prep_between@R280H@nn@PROTX2	breast cancer	XRCC1
1175:PROTX1@prep_of@abrogation@dobj@clinically@prep_with@PROTX2	HBP1	breast cancer
1221:PROTX1@nn@checkpoint@prep_with@)@amod@PROTX2	CHFR	ring
1229:PROTX1@nn@frequency@nsubj@shows@prep_with@PROTX2	HFE	breast cancer
1233:PROTX1@xsubj@important@prep_for@development@nn@PROTX2	D1	breast cancer
1234:PROTX1@dobj@phosphorylates@prep_on@PROTX2	D1	Thr-286
1238:PROTX1@nsubj@exerts@prep_through@)@nn@PROTX2	Leptin	LEPR
1243:PROTX1@nsubj@was@prep_on@stimulation@nn@PROTX2	PRL-3	PMA
1244:PROTX1@nn@HMVEC@nsubj@showed@dobj@formation@nn@PROTX2	PMA-treated	tube
1252:PROTX1@prep_of@Transfection@nsubj@inhibited@dobj@expression@nn@PROTX2	PRL-3	PRL-3
1253:PROTX1@nsubj@functional@prep_in@PROTX2	PRL-3	PRL-3
1263:PROTX1@nn@cells@prep_with@PROTX2	MDA-MB-231	rAd-sTRII
1266:PROTX1@nsubj@induces@dobj@invasion@nn@PROTX2	NFAT	breast cancer
1272:PROTX1@nsubj@promotes@dobj@invasion@nn@PROTX2	NFAT	breast cancer
1285:PROTX1@nsubj@increased@dobj@migration@prep_of@cells@nn@PROTX2	EGF	AE-2
1290:PROTX1@nsubj@repressed@dobj@activity@amod@PROTX2	VDR	core
1304:PROTX1@amod@present@prep_in@PROTX2	c-Rel	breast cancer
1305:PROTX1@nn@)@nsubj@cause@dobj@migration@nn@PROTX2	PAR1	breast cancer
1317:PROTX1@nsubj@induced@dobj@deacetylation@prep_of@)@nn@PROTX2	MTA1	HDAC1
1323:PROTX1@nsubj@protected@dobj@PROTX2	MG132	AR
1325:PROTX1@nn@expression@nsubj@suppressed@dobj@tumors@nn@PROTX2	Bik	breast
1332:PROTX1@prep_between@found@prep_between@patterns@nn@PROTX2	PTEN	D1
1340:PROTX1@prep_of@analysis@nsubj@benefit@dobj@understanding@prep_of@PROTX2	BRCA1	BRCA1
1351:PROTX1@nsubj@inhibited@dobj@invasiveness@prep_of@cells@nn@PROTX2	CT	MDA-MB-231
1352:PROTX1@prep_of@effect@dobj@describing@prep_on@invasion@nn@PROTX2	CT	breast cancer
1353:PROTX1@nn@signaling@prep_between@link@prep_between@invasion@nn@PROTX2	CT	breast cancer
1358:PROTX1@nsubj@mitogenic@prep_including@PROTX2	leptin	breast
1384:PROTX1@nsubj@plays@dobj@role@prep_in@carcinogenesis@nn@PROTX2	WISP-2	breast
1395:PROTX1@nsubj@oncogene@prep_in@progression@nn@PROTX2	MYC	breast cancer
1402:PROTX1@nn@patients@prep_with@PROTX2	breast cancer	HER2-overexpression
1432:PROTX1@nn@)@prep_in@)@nn@PROTX2	SNP	TMPRSS6
1435:PROTX1@nn@family@prep_of@PROTX2	MTA	MTA1
1452:PROTX1@prep_of@Overexpression@nsubj@rescues@dobj@phenotype@prep_of@cells@amod@PROTX2	TSC2	myr-Akt1-expressing
1462:PROTX1@nn@member@partmod@recruited@prep_to@PROTX2	RB	PCNA
1463:PROTX1@nsubjpass@recruited@prep_to@promoter@nn@PROTX2	RB	PCNA
1465:PROTX1@prep_of@study@nsubj@(aryl@dobj@polymorphisms@nn@PROTX2	AhR	CYP1A2
1472:PROTX1@nn@polymorphism@nsubj@factor@prep_for@PROTX2	AhR	breast cancer
1482:PROTX1@prep_between@found@prep_between@)@nn@PROTX2	Ang-2	VEGF
1506:PROTX1@amod@analysis@prep_in@PROTX2	HER2	breast cancer
1530:PROTX1@nn@levels@nsubj@enhanced@dobj@activity@nn@PROTX2	BRCA1	VEGF
1531:PROTX1@nsubjpass@recruited@prep_to@promoter@nn@PROTX2	BRCA1	VEGF
1536:PROTX1@prep_as@identified@prep_as@PROTX2	(2-ox-DIM)	1H-indol-3-yl
1543:PROTX1@nn@cells@nsubj@express@dobj@specific@nn@PROTX2	breast cancer	Gal-3-O-sulfotransferase
1601:PROTX1@amod@)@nsubj@belongs@prep_to@family@nn@PROTX2	15-LOX	iron
1602:PROTX1@nsubjpass@found@nsubjpass@PROTX2	15-LOX-1	15-LOX-2
1606:PROTX1@nsubjpass@found@nsubjpass@PROTX2	15-LOX-2	15-LOX-1
1612:PROTX1@nsubj@stimulates@dobj@expression@prep_of@)@nn@PROTX2	Gen	PR
1614:PROTX1@prep_of@ability@nsubj@indication@prep_for@potency@prep_of@PROTX2	Gen	Gen
1622:PROTX1@nsubj@(@dobj@)@amod@PROTX2	HGF	pro-HGF
1630:PROTX1@nn@)@prep_in@promoter@nn@PROTX2	SNP	MDM2
1646:PROTX1@nsubj@modulates@prepc_by@interacting@prep_with@PROTX2	BRCA1	ARNT
1651:PROTX1@nsubjpass@recruited@prep_to@regions@prep_of@PROTX2	BRCA1	CYP1A1
1653:PROTX1@prep_between@interaction@prep_between@PROTX2	BRCA1	ARNT
1663:PROTX1@amod@polymorphism@prep_of@analysis@nsubj@collected@prep_with@PROTX2	germ-line	breast cancer
1690:PROTX1@amod@amplification@prep_in@PROTX2	HER2	breast cancer
1697:PROTX1@nn@amplification@nsubj@localized@prep_to@chromosomes@nn@PROTX2	Met	minute
1701:PROTX1@nsubj@inhibits@dobj@degradation@amod@PROTX2	Cdc42	c-Cbl-regulated
1703:PROTX1@nsubj@reduces@dobj@levels@prep_of@PROTX2	Cdc42	EGFR
1705:PROTX1@nn@signaling@nsubj@induced@prep_by@activity@amod@PROTX2	EGFR	c-Cbl-N480
1707:PROTX1@nn@tissue@nsubj@expresses@dobj@receptor@nn@PROTX2	breast	NPY
1714:PROTX1@nsubj@binding@prep_to@sequence@nn@PROTX2	STAT3	STAT3-interacting
1726:PROTX1@prep_of@Targeting@nsubj@inhibits@prep_through@mechanism@nn@PROTX2	CTCF	ADP-ribosyl
1735:PROTX1@nsubj@increases@dobj@expression@prep_of@cells@nn@PROTX2	TAM	breast
1740:PROTX1@nn@overexpression@nsubj@predicts@dobj@presence@prep_of@micro-metastasis@nn@PROTX2	VEGF	SLN
1741:PROTX1@nn@method@prep_of@development@nsubj@quantify@dobj@mRNA@nn@PROTX2	RT-PCR	M2
1769:PROTX1@prep_between@association@prep_between@haplotypes@num@PROTX2	breast cancer	3-SNP
1783:PROTX1@amod@amplicon@prep_in@PROTX2	ERBB2	breast cancer
1802:PROTX1@nsubj@indicates@dobj@prognosis@prep_of@malignancies@prep_such_as@PROTX2	WT1	breast cancer
1809:PROTX1@nsubj@coactivator@nsubj@cooperates@prep_with@PROTX2	ASXL1	SRC-1
1817:PROTX1@prep_of@identification@nsubj@(@prep_for@)@nn@PROTX2	ADAM12	breast
1882:PROTX1@nn@activation@nsubj@peptide@dobj@]@nn@PROTX2	PAR-1	TRAP
1895:PROTX1@xsubj@interact@prep_with@PROTX2	FANCG	XRCC3
1896:PROTX1@nsubjpass@co-immunoprecipitated@prep_with@PROTX2	FANCG	XRCC3
1901:PROTX1@nn@)@prep_with@)@nn@PROTX2	PST	Doc
1926:PROTX1@nn@haplotype@nsubj@increases@dobj@risk@nn@PROTX2	RAD51	breast cancer
1930:PROTX1@prep_of@Effects@nsubj@)@prep_on@risk@nn@PROTX2	GSTA1	breast cancer
1960:PROTX1@nn@)@nsubj@proteins@amod@PROTX2	TPD52	coiled-coil
1972:PROTX1@nsubj@plays@prep_in@activities@nn@PROTX2	Arf6	breast cancer
1981:PROTX1@prep_of@expression@nsubj@inhibited@dobj@growth@prep_of@cells@nn@PROTX2	AP-2alpha	breast
1987:PROTX1@nsubj@modulates@dobj@expression@prep_of@PROTX2	BARX2	SOX5
2014:PROTX1@nn@lines@nsubj@overexpressed@dobj@PROTX2	breast cancer	CD46
2015:PROTX1@nsubj@has@dobj@activity@prep_against@lines@nn@PROTX2	MV-CEA	breast cancer
2031:PROTX1@nsubjpass@implicated@prep_in@initiation@prep_of@PROTX2	IGF-IR	breast cancer
2033:PROTX1@amod@lines@nsubj@express@dobj@levels@prep_of@mRNA@nn@PROTX2	breast cancer	IGF-IR
2036:PROTX1@amod@family@appos@PROTX2	BCL2	BCL2L12
2046:PROTX1@nsubj@protein@rcmod@associated@prep_with@PROTX2	KIF14	breast cancer
2063:PROTX1@prep_of@levels@partmod@associated@prep_with@promoter@nn@PROTX2	MSK1	TFF1
2066:PROTX1@nsubj@subgroup@prep_of@PROTX2	breast cancer	breast cancer
2073:PROTX1@nn@v4@nsubj@contains@dobj@copies@prep_of@sequence@amod@PROTX2	Exon	C/A-rich
2074:PROTX1@nsubj@enhances@dobj@inclusion@prep_of@exons@num@PROTX2	hTra2-beta1	CD44
2078:PROTX1@nn@activity@nsubj@hallmarks@prep_of@PROTX2	MSK	breast cancer
2091:PROTX1@nsubjpass@examined@prep_to@PROTX2	LCN2	4-HPR
2094:PROTX1@amod@induction@prep_of@ablation@nsubj@modify@prep_to@PROTX2	LCN2	4-HPR
2098:PROTX1@nn@variants@prep_on@risk@prep_for@PROTX2	CHEK2	breast cancer
2099:PROTX1@amod@interactions@prep_in@susceptibility@nn@PROTX2	SNP-SNP	breast cancer
2101:PROTX1@prep_of@profiles@nsubj@obtained@prep_from@biopsies@amod@PROTX2	breast cancer	core
2108:PROTX1@nsubjpass@bound@prep_to@promoter@nn@PROTX2	AhR	CAD
2113:PROTX1@nsubj@associated@prep_with@risk@nn@PROTX2	FANCD2	breast cancer
2117:PROTX1@prep_between@relationship@prep_between@risk@nn@PROTX2	FANCD2	breast cancer
2123:PROTX1@prep_of@role@nsubjpass@limited@prep_to@PROTX2	BRMS1	breast cancer
2125:PROTX1@nsubj@plasmid@acomp@PROTX2	BRMS1	HO-8910PM
2126:PROTX1@nn@expression@nsubj@alter@dobj@proliferation@prep_of@cells@nn@PROTX2	BRMS1	HO-8910PM
2129:PROTX1@nn@transfectants@nsubj@form@prep_in@models@amod@PROTX2	BRMS1	nude
2133:PROTX1@nsubj@mediates@dobj@modification@amod@PROTX2	Efp	ISG15
2141:PROTX1@nn@)@prep_through@bound@prep_to@)@nn@PROTX2	PTB	FGF
2142:PROTX1@nn@domain@prep_of@)@nn@PROTX2	PTB	PTB
2149:PROTX1@prep_between@interaction@nsubj@due@prep_to@hindrance@prep_of@PROTX2	HER2	HER2
2165:PROTX1@amod@gene@prep_with@PROTX2	RB1	breast cancer
2174:PROTX1@nsubj@paralog@prep_of@PROTX2	AREG	HBEGF
2185:PROTX1@amod@transformation@prep_of@PROTX2	erbB2-mediated	breast
2193:PROTX1@nsubj@did@dobj@PROTX2	breast cancer	breast cancer
2196:PROTX1@nn@loading@prep_of@PROTX2	BRCA2-dependent	Rad51
2197:PROTX1@nsubj@form@nsubj@PROTX2	Rad51	FancD2
2201:PROTX1@xsubj@associated@prep_with@mutations@nn@PROTX2	breast cancer	BRCA1
2207:PROTX1@nsubj@induces@dobj@relocalization@prep_of@PROTX2	Muc4	ErbB2
2219:PROTX1@nsubj@enzyme@amod@PROTX2	UGT2B15	UGT2B
2224:PROTX1@nsubj@plays@prep_in@development@prep_of@malignancies@nn@PROTX2	Stat3	breast
2228:PROTX1@nsubj@regulates@dobj@expression@amod@PROTX2	Stat3	Her2
2251:PROTX1@amod@phosphorylation@prep_of@PROTX2	IR-induced	BRCA1
2259:PROTX1@nn@activity@nsubj@undetectable@prep_with@promoter@nn@PROTX2	AP-2	IR
2265:PROTX1@nsubj@essential@xcomp@PROTX2	Acetyl-CoA	breast cancer
2268:PROTX1@nsubj@induces@dobj@expression@prep_of@PROTX2	c-Myc	H19
2270:PROTX1@nsubj@down-regulates@dobj@expression@prep_of@)@nn@PROTX2	c-Myc	IGF2
2271:PROTX1@nsubj@affect@dobj@imprinting@amod@PROTX2	c-Myc	H19
2272:PROTX1@nsubj@binds@dobj@expression@prep_of@allele@amod@PROTX2	c-Myc	H19
2292:PROTX1@nn@patients@prep_of@%@nsubj@have@dobj@PROTX2	breast cancer	breast cancer
2295:PROTX1@nsubj@inhibitors@dobj@activity@prep_in@cells@nn@PROTX2	COX	breast cancer
2305:PROTX1@amod@risk@prep_of@PROTX2	4.55-fold	breast cancer
2311:PROTX1@amod@gene@prep_in@PROTX2	BRCA1	breast cancer
2312:PROTX1@nsubj@TSG)@nsubj@predisposes@prep_to@PROTX2	BRCA1	breast
2365:PROTX1@nsubj@potent@partmod@followed@agent@PROTX2	PPD	Rh2
2376:PROTX1@nn@)@nsubj@component@prep_of@remodeling@nn@PROTX2	MTA1	Mi-2/nucleosome
2379:PROTX1@dobj@containing@dobj@PROTX2	ICAM1	ICAM4
2394:PROTX1@nsubj@coactivator@prep_for@PROTX2	LPP	PEA3
2396:PROTX1@nsubj@forms@prep_with@PROTX2	LPP	PEA3
2407:PROTX1@nsubj@activates@dobj@MAPK@amod@PROTX2	PML	p38
2415:PROTX1@nn@family@nsubj@consists@prep_of@PROTX2	Abl	c-Abl
2428:PROTX1@prep_of@inhibitors@nsubj@cause@dobj@apoptosis@prep_of@cells@nn@PROTX2	FAS	breast cancer
2430:PROTX1@nn@)@nsubj@up-regulated@prep_on@inhibition@prep_of@gene@nn@PROTX2	DAPK2	FAS
2431:PROTX1@nn@inhibitor@nsubj@up-regulated@dobj@levels@nn@PROTX2	CPT-1	BNIP3
2434:PROTX1@prep_of@inhibition@nsubj@causes@dobj@accumulation@prep_of@PROTX2	FAS	malonyl-CoA
2442:PROTX1@nn@)@nsubj@form@prep_of@PROTX2	breast cancer	breast cancer
2449:PROTX1@nsubj@target@amod@PROTX2	Myc	Notch1
2465:PROTX1@prep_of@effect@nsubjpass@associated@prep_with@up-regulation@prep_of@PROTX2	leptin	D1
2477:PROTX1@nn@polymorphism@nsubj@modifier@prep_for@adducts@amod@PROTX2	IGHMBP2	PAH-DNA
2483:PROTX1@nn@genotypes@prep_between@association@prep_between@patients@nn@PROTX2	APOE	breast cancer
2505:PROTX1@nsubj@component@prep_of@PROTX2	PRKAR1A	cAMP
2507:PROTX1@nsubj@regulates@dobj@expression@prep_in@cells@nn@PROTX2	HOXA5	breast cancer
2511:PROTX1@nsubj@regulator@prep_of@hMLH1@prep_in@cells@nn@PROTX2	HOXA5	breast cancer
2520:PROTX1@prep_between@interaction@prep_between@PROTX2	CYP2E1	GSTM1
2527:PROTX1@nn@activity@prep_of@PROTX2	AhR	2,3,6,7-CBP
2528:PROTX1@nn@gene@nsubj@responsible@prep_for@number@prep_of@PROTX2	BRCA1	breast
2532:PROTX1@num@variants@nsubjpass@associated@prep_with@PROTX2	BRCA1	breast cancer
2551:PROTX1@amod@gene@prep_in@PROTX2	RAD51	breast cancer
2558:PROTX1@nsubj@colocalizes@prep_with@)@nn@PROTX2	SLIRP	SKIP
2580:PROTX1@prep_of@variants@nsubj@confer@prep_to@PROTX2	BARD1	breast cancer
2582:PROTX1@nn@variant@prep_of@role@dobj@investigated@prep_with@PROTX2	BARD1	breast cancer
2587:PROTX1@nn@)@nsubj@supports@dobj@progression@prep_of@metastasis@nn@PROTX2	LPA	breast
2588:PROTX1@nsubj@marker@prep_in@PROTX2	ErbB2	breast cancer
2600:PROTX1@nn@SKBr3@nsubj@overexpresses@dobj@PROTX2	breast cancer	EGFR
2624:PROTX1@nn@polymorphism@nsubj@factor@prep_for@PROTX2	VEGF	breast cancer
2656:PROTX1@nsubjpass@recruited@prep_with@subunits@nn@PROTX2	CNOT1	Ccr4-Not
2668:PROTX1@prep_of@combination@nsubj@show@prep_on@PROTX2	5AZA-CdR	MDA-MB-231
2669:PROTX1@nn@biopsies@prep_of@cancer@nn@PROTX2	core	breast
2671:PROTX1@prep_of@Knockdown@nsubj@inhibited@dobj@phosphorylation@amod@PROTX2	DNA-PK	TNF-induced
2672:PROTX1@amod@interactions@prep_with@PROTX2	Smad3	c-Myc
2677:PROTX1@amod@site@dobj@identified@prep_on@promoter@nn@PROTX2	Smad3	TERT
2678:PROTX1@nsubj@binds@prep_to@PROTX2	Smad3	c-Myc
2680:PROTX1@prep_between@interaction@prep_between@gene@nn@PROTX2	Smad3	TERT
2690:PROTX1@nsubj@player@prep_in@pathogenesis@prep_of@PROTX2	PRL	breast cancer
2691:PROTX1@nn@)@nsubj@has@dobj@effects@prep_on@tissue@nn@PROTX2	EGF	breast
2692:PROTX1@nsubj@promotes@dobj@morphogenesis@nn@PROTX2	EGFR	breast
